名稱,分類,次分類,定位地址,回報地址,X坐標,Y座標,來源
潭子區-民營-城市車旅-慈濟醫院地下停車場,公共建設,停車場地,,,221687.5242,2676693.83,Open data
太平區-民營-長安醫院地下停車場,公共建設,停車場地,,,221531.0635,2669579.509,Open data
南區-民營-洪運停車場,公共建設,停車場地,,,215297.1545,2668186.796,Open data
沙鹿區-民營-第二醫療停車場,公共建設,停車場地,,,205102.0398,2681196.627,Open data
龍井區-民營-Times台中東海夜市2停車場,公共建設,停車場地,,,208425.3003,2675048.559,Open data
西區-民營-Times台中五權六街停車場,公共建設,停車場地,,,215657.6078,2670127.386,Open data
大雅區-民營-聯永物業股份有限公司台中二十九站停車場,公共建設,停車場地,,,216116.1568,2679149.22,Open data
北區-公有-中央市場停車場,公共建設,停車場地,,,217033.1318,2671611.522,Open data
北區-民營-城市車旅-學士站停車場,公共建設,停車場地,,,217564.7775,2673012.409,Open data
東區-民營-城市車旅-自由文化停車場,公共建設,停車場地,,,219114.8517,2670874.789,Open data
北屯區-民營-城市車旅-文心二站停車場,公共建設,停車場地,,,218309.009,2674107.168,Open data
中區-民營-華中停車場,公共建設,停車場地,,,217093.0288,2671145.121,Open data
南區-民營-城市車旅-南平站停車場,公共建設,停車場地,,,216346.0711,2669000.514,Open data
大里區-民營-城市車旅-大里慈善站停車場,公共建設,停車場地,,,218960.3442,2665260.078,Open data
南屯區-民營-聯永物業股份有限公司台中三十七站停車場,公共建設,停車場地,,,213030.5456,2672175.114,Open data
東區-民營-台中練武營業所停車場,公共建設,停車場地,,,218250.3004,2670564.373,Open data
南屯區-民營-佛教正德醫院停車場,公共建設,停車場地,,,212641.2164,2670968.938,Open data
南屯區-民營-Times台中向心南路停車場,公共建設,停車場地,,,213706.6777,2670318.287,Open data
北屯區-民營-北屯崇德營業所停車場,公共建設,停車場地,,,218066.797,2674839.777,Open data
南區-民營-中山醫學大學誠愛樓停車場,公共建設,停車場地,,,214606.8568,2668558.401,Open data
西屯區-民營-聯永物業股份有限公司台中二十七站停車場,公共建設,停車場地,,,213603.759,2673789.503,Open data
東區-民營-振新停車場,公共建設,停車場地,,,220097.797,2669508.243,Open data
西屯區-民營-華廈停車場,公共建設,停車場地,,,213820.8913,2675263.056,Open data
