編號,基準地編號,土地標示,地價(元/m²),面積(m²),形狀及寬深比(m),使用分區或編定用地,建蔽率(%),容積率(%),地上建物門牌,地上建物型態及建物名稱,較去年漲跌(%)
125,D11BB0001,臺南市柳營區柳中段1066地號,70500,78.23,長方形5.6:14.0,商業區,80,320,臺南市柳營區柳營路二段6號,透天住家用,2.64
126,D11BB0002,臺南市柳營區柳南段164地號,75900,77.9,長方形4.0:19.5,商業區,80,320,中山西路二段137號,透天正飲行,2.45
127,D11BD0003,臺南市柳營區人和段746地號、人和段747地號,19900,134.55,長方形7.0:19.2,乙種工業區,70,210,臺南市柳營區柳營路三段299號,透天長輝工業有限公司,3.63
128,D11BF0004,臺南市柳營區士林段553地號,13100,395.71,長方形11.3:35.0,農業區,0,0,,素地,0.7
129,D12BA0002,臺南市白河區永安段406-2地號,39900,80,長方形4.5:17.8,住宅區,60,180,臺南市白河區三民路445號,透天偉傑代書事務所,1.54
130,D12BB0001,臺南市白河區永安段28地號,65300,127,長方形4.9:25.8,商業區,80,300,臺南市白河區中山路93號,透天年代眼鏡公司,0.93
131,D12BD0003,臺南市白河區新興段22地號,16000,2704,長方形27.2:99.2,乙種工業區,70,210,臺南市白河區中山路535號,透天康美運動科技有限公司,2.72
132,D12BF0004,臺南市白河區永安段605地號,10100,2268,長方形30.6:74.0,農業區,0,0,,素地,0.91
133,D13BA0001,臺南市後壁區頭前段993地號,26700,72.55,長方形4.2:17.3,住宅區,60,150,臺南市後壁區後壁里後壁170之43號,透天住家用,0.57
134,D13BA0002,臺南市後壁區頭前段504地號,34500,99.61,長方形5.2:19.2,住宅區,60,150,臺南市後壁區後壁134號,透天住家用,0.88
135,D13BB0001,臺南市後壁區頭前段444地號,39300,77.16,長方形4.2:18.4,商業區,80,240,臺南市後壁區後壁里後壁131之7號,透天自助餐,0.78
136,D13BD0004,臺南市後壁區下茄苳段2449-8地號,13400,662,長方形23.2:28.5,甲種工業區,60,210,臺南市後壁區後壁42之18號,透天廠房,0.91
137,D13BF0003,臺南市後壁區下茄苳段1887-17地號,9500,141,長方形6.2:22.8,農業區,0,0,,素地,0
138,D14BA0003,臺南市東山區東中段998地號,20900,87.84,長方形4.6:19.1,住宅區,60,200,臺南市東山區東仁街80號,透天住家用,1.32
139,D14BA0004,臺南市東山區東正段537地號,23000,88.24,長方形4.4:20.0,住宅區,60,200,臺南市東山區東山里118之3號,透天住家用,1.2
140,D14BB0001,臺南市東山區東中段219地號,52600,83.74,長方形4.3:19.5,商業區,80,320,臺南市東山區達雲路一段15號,透天早安美芝城,2.35
141,D14BD0005,臺南市東山區東安段264地號,8100,2007.5,長方形25.4:79.0,乙種工業區,70,210,,素地,1.13
142,D14BF0006,臺南市東山區東山段2433地號,1900,2300,長方形23.0:100.0,農業區,0,0,,素地,0
143,D15BA0004,臺南市麻豆區中興段478地號、中興段479地號,78000,142,長方形5.2:27.7,住宅區,60,200,臺南市麻豆區中興里興國路40之5號,透天柏榮牙醫診所,1.57
144,D15BA0005,臺南市麻豆區保安段352-3地號,85000,94.34,長方形5.1:17.3,「住三」住宅區,60,180,臺南市麻豆區大埕里忠孝路23之25號,透天清原芋圓,1.08
145,D15BB0001,臺南市麻豆區保安段750地號,123000,90.92,長方形4.2:21.6,商業區,80,300,臺南市麻豆區興中路56號,透天邦妮服飾店,1
146,D15BD0006,臺南市麻豆區麻工段213地號,36900,702.12,長方形26.2:26.1,乙種工業區,70,270,,素地,3.39
147,D15BF0007,臺南市麻豆區五王段874-1地號,12400,787.64,梯形28.0:28.3,農業區,0,0,,素地,1.23
148,D16BA0001,臺南市下營區營平段436-3地號,34800,108.98,長方形4.8:22.6,住宅區,60,200,臺南市下營區營前里中正南路87號,透天住家用,0.88
149,D16BA0003,臺南市下營區營中段909地號,55700,79.86,長方形4.8:16.6,住宅區,60,200,臺南市下營區仁里里17鄰下營137之3號,透天住家用,0
150,D16BB0002,臺南市下營區營中段699地號,76800,91.14,長方形5.7:16.4,商業區,80,320,臺南市下營區中山路一段11號,透天羊肉羹小吃店,0.4
151,D16BD0004,臺南市下營區下營段2270地號、下營段2270-1地號,16400,2376,長方形23.9:98.2,乙種工業區,70,210,臺南市下營區公園路145號,透天威舜股份有限公司,3.43
153,D16BF0005,臺南市下營區十六甲段950地號,3600,1929,長方形24.2:81.7,農業區,0,0,,素地,0
154,D17BA0002,臺南市六甲區光明段822地號,41100,77.41,長方形4.3:18.2,住宅區,60,180,臺南市六甲區中山路229號,透天住家用,0.74
155,D17BA0003,臺南市六甲區民權段131地號,79000,80.4,長方形4.7:17.1,住宅區,60,180,臺南市六甲區中山路13號(未登記),透天詠彩影印(未登記),0.38
156,D17BB0001,臺南市六甲區民生段888地號,54100,69.24,長方形4.1:16.9,商業區,80,240,臺南市六甲區中正路426號,透天早安美芝城,0
